,Ward Precinct ,JOHN R CONNOLLY,MARTY J WALSH,LEE BUCKLEY (WRITE-IN),DAVID JAMES WYATT (WRITE-IN),ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,TWO OR MORE RACES,BIPOC,HISPANIC,ASIAN,OTHER
30,401.0,620.0,191.0,0.0,0.0,0.0,811.0,2.0,813.0,1892.0,1583.0,2043.0,0.821,0.058,0.0,0.011,0.179,0.041,0.095,0.015
31,402.0,709.0,246.0,0.0,0.0,1.0,956.0,10.0,966.0,2897.0,4152.0,4956.0,0.719,0.172,0.003,0.006,0.281,0.057,0.089,0.012
32,403.0,397.0,139.0,0.0,0.0,1.0,537.0,3.0,540.0,1270.0,1257.0,1612.0,0.726,0.169,0.0,0.011,0.274,0.051,0.072,0.024
33,404.0,488.0,201.0,0.0,0.0,3.0,692.0,4.0,696.0,1929.0,1911.0,2243.0,0.733,0.157,0.004,0.004,0.267,0.104,0.097,0.004
34,405.0,323.0,153.0,0.0,0.0,1.0,477.0,3.0,480.0,1594.0,1930.0,2648.0,0.676,0.108,0.001,0.021,0.324,0.116,0.15,0.044
35,406.0,254.0,130.0,0.0,0.0,2.0,386.0,4.0,390.0,1339.0,2051.0,2733.0,0.638,0.078,0.005,0.039,0.362,0.125,0.197,0.043
36,407.0,164.0,164.0,0.0,0.0,2.0,330.0,2.0,332.0,1474.0,2235.0,2825.0,0.67,0.071,0.004,0.038,0.33,0.113,0.185,0.031
37,408.0,161.0,134.0,0.0,0.0,0.0,295.0,4.0,299.0,1529.0,5260.0,6612.0,0.697,0.078,0.001,0.029,0.303,0.104,0.165,0.027
38,409.0,63.0,91.0,0.0,0.0,1.0,155.0,2.0,157.0,1194.0,4032.0,4967.0,0.617,0.155,0.001,0.041,0.383,0.165,0.128,0.057
39,410.0,41.0,36.0,0.0,0.0,0.0,77.0,0.0,77.0,840.0,5540.0,6651.0,0.652,0.108,0.002,0.027,0.348,0.12,0.152,0.059
