,Ward_Precinct,TITO JACKSON,MARTIN J WALSH,DONALD OSGOOD SR (WRITE-IN),ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
77,901.0,188.0,428.0,0.0,1.0,617.0,14.0,631.0,1894.0,2070.0,2777.3768364035373,0.564,0.072,0.005,0.19,0.135
78,902.0,214.0,329.0,0.0,2.0,545.0,4.0,549.0,2220.0,2194.0,2763.81347324698,0.647,0.204,0.0,0.078,0.047
79,903.0,306.0,358.0,1.0,4.0,669.0,11.0,680.0,3040.0,3504.0,4905.2036104488725,0.378,0.348,0.0,0.066,0.189
80,904.0,186.0,235.0,0.0,2.0,423.0,1.0,424.0,2123.0,3000.0,4160.54824185287,0.327,0.353,0.006,0.12,0.162
81,905.0,408.0,256.0,0.0,1.0,665.0,3.0,668.0,2035.0,3193.0,4111.376450968272,0.388,0.368,0.012,0.135,0.068
82,1001.0,80.0,175.0,0.0,1.0,256.0,3.0,259.0,964.0,877.0,1165.2188014305173,0.468,0.239,0.002,0.125,0.132
83,1002.0,76.0,107.0,0.0,1.0,184.0,1.0,185.0,944.0,1684.0,2235.3886724474696,0.548,0.16,0.005,0.171,0.089
84,1003.0,52.0,112.0,0.0,1.0,165.0,1.0,166.0,968.0,1669.0,2232.3243989952657,0.565,0.105,0.006,0.251,0.054
85,1004.0,114.0,281.0,0.0,1.0,396.0,1.0,397.0,1738.0,1258.0,1725.1535080077108,0.354,0.224,0.0,0.309,0.1
86,1005.0,118.0,118.0,0.0,2.0,238.0,3.0,241.0,1175.0,2274.0,2949.549620338168,0.531,0.201,0.001,0.179,0.07
87,1006.0,129.0,161.0,0.0,2.0,292.0,2.0,294.0,1321.0,1734.0,2639.630426061713,0.383,0.334,0.0,0.076,0.161
88,1007.0,155.0,248.0,0.0,1.0,404.0,2.0,406.0,1842.0,1762.0,2564.873934074208,0.434,0.249,0.002,0.062,0.201
89,1008.0,206.0,277.0,0.0,3.0,486.0,3.0,489.0,1814.0,2213.0,2934.476209158376,0.604,0.159,0.008,0.134,0.078
90,1009.0,266.0,273.0,0.0,1.0,540.0,5.0,545.0,2038.0,1818.0,2518.8008249725867,0.583,0.147,0.011,0.095,0.131
91,1101.0,197.0,69.0,0.0,3.0,269.0,3.0,272.0,905.0,1418.0,1892.1697719000003,0.35,0.439,0.0,0.052,0.106
92,1102.0,278.0,207.0,0.0,0.0,485.0,3.0,488.0,1542.0,1760.0,2459.7889540328874,0.183,0.525,0.011,0.021,0.193
93,1103.0,197.0,123.0,0.0,0.0,320.0,1.0,321.0,1229.0,1305.0,1827.991581338196,0.173,0.54,0.005,0.02,0.198
94,1104.0,294.0,258.0,0.0,4.0,556.0,3.0,559.0,2003.0,2269.0,3203.9708189209587,0.331,0.348,0.0,0.027,0.216
95,1105.0,230.0,223.0,0.0,1.0,454.0,5.0,459.0,1566.0,1338.0,1881.5397751419996,0.394,0.292,0.0,0.03,0.213
96,1106.0,261.0,180.0,0.0,4.0,445.0,1.0,446.0,1201.0,1443.0,2012.0593815398065,0.52,0.18,0.0,0.035,0.208
97,1107.0,339.0,187.0,0.0,3.0,529.0,0.0,529.0,1631.0,1864.0,2492.338262088369,0.578,0.179,0.002,0.044,0.147
98,1108.0,311.0,265.0,0.0,4.0,580.0,2.0,582.0,1734.0,2388.0,3292.15206261316,0.59,0.244,0.002,0.043,0.083
99,1109.0,223.0,176.0,0.0,4.0,403.0,6.0,409.0,987.0,955.0,1262.5026605145829,0.763,0.103,0.001,0.043,0.052
100,1110.0,258.0,181.0,0.0,1.0,440.0,5.0,445.0,1368.0,1042.0,1405.3966467834018,0.691,0.149,0.001,0.044,0.077
101,1201.0,340.0,195.0,1.0,4.0,540.0,3.0,543.0,1745.0,2041.0,2932.895959098337,0.076,0.657,0.04,0.013,0.144
102,1202.0,338.0,212.0,0.0,2.0,552.0,3.0,555.0,2165.0,2217.0,3537.4016928953592,0.141,0.661,0.0,0.003,0.127
103,1203.0,200.0,112.0,1.0,0.0,313.0,2.0,315.0,934.0,923.0,1268.2539544852552,0.058,0.671,0.076,0.011,0.143
104,1204.0,191.0,112.0,0.0,0.0,303.0,2.0,305.0,1153.0,1161.0,1932.913943830132,0.067,0.584,0.001,0.005,0.225
105,1205.0,126.0,120.0,0.0,1.0,247.0,3.0,250.0,687.0,730.0,1047.5369147886622,0.083,0.674,0.055,0.008,0.125
106,1206.0,161.0,138.0,0.0,2.0,301.0,4.0,305.0,910.0,1087.0,1745.804768492163,0.119,0.647,0.0,0.004,0.155
107,1207.0,376.0,260.0,0.0,0.0,636.0,1.0,637.0,2503.0,3036.0,4860.092574231919,0.16,0.558,0.003,0.005,0.164
108,1208.0,122.0,70.0,1.0,0.0,193.0,0.0,193.0,805.0,972.0,1579.0655181599634,0.149,0.681,0.0,0.0,0.08
109,1209.0,183.0,118.0,0.0,2.0,303.0,1.0,304.0,1003.0,1341.0,2181.7674252285537,0.133,0.63,0.0,0.002,0.144
110,1301.0,180.0,213.0,0.0,0.0,393.0,4.0,397.0,1513.0,1429.0,2603.985211324779,0.076,0.696,0.0,0.018,0.13
111,1302.0,63.0,67.0,0.0,0.0,130.0,0.0,130.0,607.0,648.0,1169.875184713453,0.074,0.685,0.0,0.019,0.138
112,1303.0,91.0,155.0,0.0,0.0,246.0,0.0,246.0,1282.0,1413.0,2491.506956481057,0.392,0.137,0.009,0.258,0.183
113,1304.0,127.0,108.0,0.0,2.0,237.0,3.0,240.0,1078.0,1455.0,2396.138560818312,0.109,0.588,0.0,0.016,0.224
114,1305.0,100.0,164.0,0.0,1.0,265.0,1.0,266.0,1020.0,1277.0,1928.66719045616,0.257,0.43,0.002,0.06,0.193
115,1306.0,126.0,279.0,0.0,1.0,406.0,2.0,408.0,1356.0,1352.0,2047.3631510353869,0.365,0.368,0.004,0.103,0.09
116,1307.0,102.0,367.0,0.0,1.0,470.0,5.0,475.0,1461.0,1022.0,1297.6597914897472,0.625,0.078,0.001,0.196,0.037
117,1308.0,100.0,278.0,0.0,2.0,380.0,2.0,382.0,1309.0,1462.0,1906.1480270508823,0.563,0.075,0.001,0.249,0.034
118,1309.0,98.0,304.0,0.0,0.0,402.0,1.0,403.0,1323.0,1587.0,2267.8860377214637,0.436,0.243,0.002,0.168,0.075
119,1310.0,151.0,609.0,0.0,3.0,763.0,6.0,769.0,1643.0,1784.0,2531.951247321404,0.503,0.152,0.004,0.236,0.073
120,1401.0,217.0,230.0,0.0,0.0,447.0,2.0,449.0,2544.0,2699.0,4807.386849052671,0.132,0.641,0.001,0.004,0.156
121,1402.0,319.0,269.0,0.0,1.0,589.0,3.0,592.0,2539.0,2850.0,4859.115727067318,0.119,0.718,0.004,0.007,0.114
122,1403.0,138.0,141.0,1.0,0.0,280.0,0.0,280.0,1270.0,1249.0,2220.050407163876,0.085,0.651,0.0,0.014,0.168
123,1404.0,144.0,153.0,0.0,0.0,297.0,2.0,299.0,1523.0,1716.0,2872.149905588792,0.146,0.701,0.0,0.002,0.077
124,1405.0,86.0,154.0,1.0,0.0,241.0,0.0,241.0,1074.0,1064.0,1978.524857773896,0.082,0.861,0.0,0.008,0.025
125,1406.0,147.0,123.0,0.0,0.0,270.0,2.0,272.0,1069.0,1094.0,1896.192548180827,0.073,0.658,0.0,0.017,0.2
126,1407.0,129.0,103.0,0.0,2.0,234.0,1.0,235.0,1166.0,1360.0,2401.906613933588,0.117,0.744,0.009,0.007,0.112
127,1408.0,166.0,162.0,1.0,1.0,330.0,1.0,331.0,1142.0,1166.0,1806.8962644095384,0.049,0.852,0.0,0.001,0.045
128,1409.0,95.0,130.0,2.0,0.0,227.0,0.0,227.0,1283.0,1300.0,2285.6511861212557,0.116,0.747,0.009,0.007,0.107
129,1410.0,152.0,163.0,2.0,0.0,317.0,1.0,318.0,1319.0,2165.0,3587.3237716544286,0.103,0.792,0.003,0.013,0.039
130,1411.0,137.0,125.0,0.0,1.0,263.0,0.0,263.0,1158.0,1504.0,2482.768625308237,0.097,0.795,0.003,0.012,0.04
131,1412.0,93.0,99.0,0.0,0.0,192.0,1.0,193.0,724.0,765.0,1258.4152131417864,0.104,0.804,0.002,0.012,0.034
132,1413.0,141.0,141.0,0.0,5.0,287.0,1.0,288.0,1098.0,1147.0,1860.5370421882076,0.108,0.835,0.0,0.011,0.023
133,1414.0,150.0,162.0,1.0,0.0,313.0,0.0,313.0,1226.0,1504.0,2478.820016350959,0.035,0.875,0.0,0.002,0.04
134,1501.0,130.0,150.0,1.0,0.0,281.0,0.0,281.0,1585.0,1784.0,3041.603130334118,0.125,0.577,0.003,0.026,0.208
