,Ward Precinct ,THOMAS M MENINO,MICHAEL F FLAHERTY,WILLIAM FEEGBEH (WRITE-IN),ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
165,1711,88,58,0,0,146,3,149,519,454.0,754.4700565966112,0.161,0.742,0.0,0.075,0.011
166,1712,249,83,0,0,332,1,333,894,750.0,1202.4125927161383,0.165,0.714,0.0,0.065,0.021
167,1713,306,259,0,1,566,4,570,1373,1770.0,2558.69997619624,0.494,0.376,0.0,0.089,0.013
168,1714,224,132,0,5,361,1,362,978,1003.0,1596.5817507366023,0.28,0.532,0.0,0.135,0.0
169,1801,411,153,0,0,564,10,574,1899,2241.0,3655.58931343189,0.106,0.79,0.0,0.036,0.027
170,1802,320,107,0,1,428,4,432,1312,1444.0,2550.4783378929965,0.051,0.888,0.0,0.0,0.027
171,1803,401,115,0,0,516,3,519,1550,1848.0,3152.4054507000533,0.043,0.913,0.0,0.002,0.022
172,1804,374,104,0,0,478,1,479,1518,1652.0,2655.0820660207146,0.039,0.904,0.0,0.003,0.031
173,1805,428,133,0,0,561,4,565,1563,1197.0,1847.1652932372065,0.145,0.734,0.012,0.012,0.062
174,1806,455,143,0,0,598,3,601,1697,1353.0,2088.306621113258,0.145,0.734,0.012,0.012,0.062
175,1807,322,126,0,3,451,3,454,1300,1903.0,2792.8419433860304,0.459,0.307,0.01,0.021,0.122
176,1808,652,182,0,0,834,4,838,2398,2967.0,4524.107251323796,0.194,0.679,0.009,0.012,0.066
177,1809,357,225,0,2,584,6,590,1333,1676.0,2402.9610239105027,0.42,0.397,0.004,0.054,0.086
178,1810,487,263,0,1,751,9,760,1966,1883.0,2767.5135118721364,0.569,0.257,0.001,0.062,0.072
179,1811,260,107,1,0,368,3,371,1306,1230.0,2214.1951836186345,0.37,0.479,0.009,0.022,0.101
180,1812,430,165,0,1,596,6,602,1431,1531.0,2218.989256600543,0.352,0.405,0.0,0.017,0.147
181,1813,214,58,0,0,272,0,272,854,885.0,1333.7040191095389,0.25,0.614,0.0,0.018,0.071
182,1814,214,71,0,1,286,1,287,907,879.0,1341.861909857898,0.495,0.352,0.0,0.016,0.1
183,1815,332,113,0,1,446,4,450,1310,1449.0,2183.867478211093,0.251,0.615,0.0,0.018,0.068
184,1816,545,262,0,0,807,12,819,1525,2190.0,3123.3772339559814,0.48,0.407,0.0,0.007,0.025
185,1817,421,156,0,0,577,5,582,1367,1577.0,2227.399652826822,0.496,0.391,0.0,0.008,0.027
186,1818,505,183,0,1,689,4,693,1751,2077.0,3023.1244010930304,0.376,0.489,0.0,0.017,0.064
187,1819,598,201,0,4,803,4,807,2075,2119.0,3448.021354534266,0.394,0.396,0.0,0.014,0.154
188,1820,714,233,0,2,949,3,952,1835,2192.0,3071.984174327876,0.542,0.294,0.0,0.026,0.111
189,1821,402,170,0,2,574,5,579,1830,1989.0,3124.69384369309,0.029,0.933,0.0,0.002,0.026
190,1822,530,230,0,1,761,5,766,1552,1676.0,2569.0151183499565,0.576,0.265,0.0,0.015,0.11
191,1823,265,58,0,0,323,4,327,1018,866.0,1459.357961601625,0.386,0.433,0.0,0.078,0.069
192,1901,169,279,0,1,449,5,454,1309,1333.0,1658.102978393861,0.767,0.039,0.002,0.077,0.07
193,1902,478,330,0,2,810,13,823,1631,1645.0,2226.830792000898,0.776,0.075,0.0,0.107,0.013
194,1903,186,227,0,1,414,4,418,1091,1301.0,1614.9768836869473,0.767,0.063,0.005,0.069,0.061
195,1904,231,306,0,1,538,5,543,1580,1439.0,1923.739993313625,0.719,0.076,0.004,0.054,0.103
196,1905,262,270,0,1,533,9,542,1382,1091.0,1348.9070408752552,0.785,0.074,0.006,0.052,0.047
197,1906,289,363,0,2,654,7,661,1694,1626.0,1999.416000942343,0.767,0.078,0.008,0.059,0.056
198,1907,292,299,0,6,597,6,603,1658,2376.0,3863.700923909834,0.44,0.2,0.034,0.083,0.198
199,1908,199,179,0,0,378,3,381,847,704.0,893.2837555819272,0.864,0.057,0.0,0.018,0.003
200,1909,139,200,0,1,340,5,345,817,730.0,942.8419545622364,0.754,0.072,0.002,0.065,0.062
201,1910,373,257,0,3,633,3,636,1544,1755.0,2824.5329077329507,0.463,0.326,0.001,0.057,0.12
202,1911,209,79,0,2,290,4,294,1154,996.0,1655.083784980715,0.466,0.222,0.024,0.073,0.18
203,1912,284,185,0,1,470,8,478,979,807.0,1250.3591540645518,0.474,0.177,0.028,0.061,0.182
204,1913,226,151,0,2,379,1,380,1085,969.0,1759.7491805814452,0.402,0.356,0.0,0.053,0.162
205,2001,418,247,0,4,669,7,676,1644,1398.0,1896.6600459588767,0.886,0.031,0.0,0.021,0.014
206,2002,378,263,0,2,643,3,646,1577,1484.0,2205.2540585547586,0.745,0.124,0.0,0.048,0.036
207,2003,405,256,0,0,661,8,669,1623,2163.0,3485.7217059038585,0.451,0.367,0.0,0.069,0.079
208,2004,315,232,0,4,551,9,560,1210,1301.0,1768.5713205540774,0.885,0.031,0.0,0.022,0.015
209,2005,431,311,0,5,747,10,757,1585,2725.0,3524.381501578605,0.85,0.052,0.0,0.026,0.053
210,2006,504,328,0,2,834,7,841,1656,1819.0,2287.3182698692485,0.934,0.018,0.0,0.008,0.008
211,2007,289,190,0,1,480,6,486,996,1072.0,1461.743463377808,0.867,0.037,0.0,0.032,0.019
212,2008,243,221,0,2,466,5,471,1101,1173.0,1718.226366174252,0.766,0.127,0.0,0.023,0.011
213,2009,336,217,0,0,553,0,553,1247,1484.0,2215.719873022489,0.737,0.142,0.0,0.034,0.021
214,2010,479,380,0,1,860,4,864,1828,1778.0,2477.550546394052,0.781,0.045,0.0,0.058,0.084
215,2011,231,171,0,1,403,10,413,787,727.0,1021.0083212443716,0.804,0.025,0.0,0.067,0.072
216,2012,339,242,0,2,583,6,589,1022,1171.0,1600.4485865137735,0.842,0.051,0.0,0.047,0.018
217,2013,251,228,0,1,480,2,482,950,624.0,856.4157743015651,0.832,0.052,0.0,0.056,0.024
218,2014,332,215,0,5,552,4,556,964,1024.0,1436.9541494381526,0.804,0.025,0.0,0.067,0.072
219,2015,416,356,0,0,772,5,777,1714,1492.0,2126.290386051918,0.654,0.202,0.0,0.043,0.073
220,2016,525,344,0,4,873,5,878,1725,1512.0,1879.7365269431696,0.923,0.033,0.0,0.013,0.021
221,2017,546,371,0,6,923,6,929,1809,2762.0,3855.509484787059,0.786,0.055,0.0,0.099,0.051
222,2018,262,215,0,3,480,5,485,945,963.0,1316.7830783167751,0.842,0.051,0.0,0.047,0.018
223,2019,331,197,0,1,529,5,534,996,670.0,887.7099055835665,0.872,0.039,0.0,0.037,0.017
224,2020,387,254,0,2,643,29,672,1640,1070.0,1488.917350971697,0.795,0.054,0.0,0.091,0.046
225,2101,71,131,0,0,202,3,205,1915,2599.0,3156.9016228545875,0.735,0.039,0.001,0.169,0.044
226,2102,9,17,0,0,26,0,26,1207,3616.0,4234.956844634753,0.744,0.039,0.002,0.167,0.033
227,2103,54,71,0,2,127,1,128,1588,2482.0,3171.313871488174,0.663,0.068,0.0,0.217,0.039
228,2104,39,51,0,2,92,2,94,1191,1351.0,1945.8773528452336,0.637,0.063,0.001,0.162,0.106
229,2105,55,90,0,1,146,2,148,1421,2417.0,3247.9841803428326,0.678,0.056,0.0,0.185,0.067
230,2106,138,141,0,2,281,3,284,1167,1481.0,1967.3510315806911,0.698,0.043,0.001,0.19,0.043
231,2107,95,90,0,0,185,0,185,1425,1685.0,2315.7917453084424,0.704,0.058,0.001,0.161,0.051
232,2108,58,91,0,1,150,5,155,1664,1994.0,2749.1941100257827,0.748,0.04,0.0,0.166,0.026
233,2109,147,86,0,0,233,0,233,1746,3010.0,4089.663288695879,0.719,0.069,0.003,0.152,0.023
234,2110,207,82,0,0,289,1,290,1278,1381.0,1707.3061201079588,0.807,0.028,0.01,0.115,0.015
235,2111,144,142,0,0,286,0,286,1691,1937.0,2513.995116917914,0.795,0.026,0.0,0.148,0.021
236,2112,291,118,0,2,411,1,412,1697,1832.0,2213.1598233864283,0.828,0.018,0.013,0.106,0.012
237,2113,575,154,0,1,730,4,734,2103,2526.0,3117.356380849862,0.801,0.023,0.002,0.138,0.021
238,2114,48,74,0,0,122,0,122,916,927.0,1111.8363905392484,0.823,0.017,0.011,0.112,0.015
239,2115,79,96,0,0,175,3,178,1278,855.0,924.2333757417948,0.8,0.014,0.005,0.124,0.029
240,2116,224,180,0,1,405,4,409,1682,4119.0,4616.252318966596,0.782,0.012,0.0,0.159,0.037
241,2201,222,222,0,1,445,6,451,2139,5714.0,7387.390662674835,0.708,0.051,0.0,0.151,0.066
242,2202,198,207,0,4,409,2,411,2001,2094.0,3006.746445162941,0.661,0.056,0.001,0.159,0.096
243,2203,209,228,1,1,439,3,442,1674,2089.0,2834.765123817413,0.687,0.037,0.0,0.195,0.07
