,Ward_Precinct,MICHELLE WU,PAT PAYASO,MICHAEL F FLAHERTY,AYANNA S PRESSLEY,DOMINGOS DAROSA,ALTHEA GARRISON,ANNISSA E GEORGE,WILLIAM A KING,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,HISPANIC,BIPOC,TWO OR MORE RACES,OTHER
101,1201.0,208,23,129,355,59,139,118,45,6,1082,1090,543,1745.0,2041.0,2933.0,0.076,0.657,0.04,0.013,0.292,0.924,0.071,0.144
102,1202.0,201,35,146,369,54,130,108,42,4,1089,1131,555,2165.0,2217.0,3537.0,0.141,0.661,0.0,0.003,0.278,0.859,0.068,0.127
103,1203.0,116,19,63,211,28,86,62,24,3,612,648,315,934.0,923.0,1268.0,0.058,0.671,0.076,0.011,0.276,0.942,0.042,0.143
104,1204.0,133,16,64,201,38,91,70,27,2,642,578,305,1153.0,1161.0,1933.0,0.067,0.584,0.001,0.005,0.359,0.934,0.119,0.225
105,1205.0,83,11,72,147,32,60,44,24,1,474,526,250,687.0,730.0,1048.0,0.083,0.674,0.055,0.008,0.288,0.917,0.055,0.125
106,1206.0,120,9,95,187,37,82,73,31,2,636,584,305,910.0,1087.0,1746.0,0.119,0.647,0.0,0.004,0.299,0.881,0.076,0.155
107,1207.0,234,35,164,368,86,153,122,76,5,1243,1305,637,2503.0,3036.0,4860.0,0.16,0.558,0.003,0.005,0.305,0.84,0.11,0.164
108,1208.0,81,4,34,127,22,49,39,18,2,376,396,193,805.0,972.0,1579.0,0.149,0.681,0.0,0.0,0.317,0.851,0.09,0.08
109,1209.0,117,11,78,209,39,78,83,23,4,642,574,304,1003.0,1341.0,2182.0,0.133,0.63,0.0,0.002,0.293,0.867,0.091,0.144
110,1301.0,137,23,104,195,84,127,82,35,9,796,792,397,1513.0,1429.0,2604.0,0.076,0.696,0.0,0.018,0.409,0.924,0.08,0.13
111,1302.0,57,4,41,82,20,41,32,16,0,293,227,130,607.0,648.0,1170.0,0.074,0.685,0.0,0.019,0.412,0.926,0.084,0.138
112,1303.0,106,17,108,100,35,40,76,18,2,502,482,246,1282.0,1413.0,2492.0,0.392,0.137,0.009,0.258,0.293,0.608,0.02,0.183
113,1304.0,91,10,73,127,72,66,68,32,1,540,420,240,1078.0,1455.0,2396.0,0.109,0.588,0.0,0.016,0.392,0.891,0.063,0.224
114,1305.0,106,8,86,126,66,47,96,26,3,564,500,266,1020.0,1277.0,1929.0,0.257,0.43,0.002,0.06,0.295,0.742,0.057,0.193
115,1306.0,201,27,168,198,80,62,196,26,6,964,668,408,1356.0,1352.0,2047.0,0.365,0.368,0.004,0.103,0.212,0.635,0.07,0.09
116,1307.0,265,23,240,218,46,69,290,35,8,1194,706,475,1461.0,1022.0,1298.0,0.625,0.078,0.001,0.196,0.092,0.374,0.063,0.037
117,1308.0,210,20,184,175,42,48,239,24,5,947,581,382,1309.0,1462.0,1906.0,0.563,0.075,0.001,0.249,0.087,0.437,0.077,0.034
