,WP,Ward,Precinct,MARTIN J KEOGH,"JACK F KELLY, III",ANNISSA ESSAIBI GEORGE,MICHAEL F FLAHERTY,AYANNA S PRESSLEY,MICHELLE WU,STEPHEN J MURPHY,JEFFREY MICHAEL ROSS,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,HISPANIC,BIPOC,TWO OR MORE RACES,NATIVE_AMERICAN,ASIAN,OTHER
98,1108,1108,1108.0,97,57,167,216,372,370,150,194,6,1629,807,609,1550,2236.0,3098.0,0.617,0.17,0.319,0.382,0.046,0.005,0.043,0.118
99,1109,1109,1109.0,64,53,149,99,307,323,112,163,4,1274,650,481,936,925.0,1234.0,0.758,0.086,0.216,0.242,0.046,0.001,0.04,0.068
100,1110,1110,1110.0,98,35,149,137,339,344,106,189,3,1400,788,547,1374,985.0,1335.0,0.73,0.091,0.282,0.269,0.055,0.004,0.033,0.087
101,1201,1201,1201.0,44,43,115,160,432,279,150,117,30,1370,862,558,1602,1775.0,2723.0,0.083,0.701,0.235,0.918,0.057,0.004,0.023,0.134
102,1202,1202,1202.0,35,19,116,191,522,313,138,133,30,1497,1535,758,2126,2016.0,3011.0,0.123,0.739,0.247,0.876,0.031,0.0,0.01,0.096
103,1203,1203,1203.0,25,14,76,88,257,158,86,68,18,790,782,393,1039,753.0,1061.0,0.066,0.737,0.156,0.933,0.081,0.003,0.038,0.075
104,1204,1204,1204.0,33,16,61,78,237,141,77,90,15,748,640,347,1082,1204.0,2099.0,0.065,0.753,0.288,0.934,0.028,0.0,0.0,0.153
105,1205,1205,1205.0,21,12,48,57,187,102,64,58,5,554,666,305,784,608.0,909.0,0.082,0.731,0.195,0.919,0.075,0.002,0.028,0.083
106,1206,1206,1206.0,20,9,43,97,214,129,68,43,13,636,612,312,817,1043.0,1612.0,0.107,0.761,0.251,0.893,0.027,0.0,0.005,0.1
107,1207,1207,1207.0,65,53,110,204,492,273,169,126,23,1515,1689,801,2455,2666.0,4296.0,0.114,0.618,0.31,0.886,0.04,0.001,0.021,0.206
108,1208,1208,1208.0,14,8,48,58,157,74,50,36,15,460,484,236,780,860.0,1498.0,0.117,0.715,0.282,0.883,0.059,0.0,0.005,0.103
109,1209,1209,1209.0,26,22,89,92,263,170,83,82,18,845,623,367,953,1199.0,1890.0,0.107,0.699,0.277,0.893,0.036,0.0,0.013,0.145
110,1301,1301,1301.0,95,61,111,178,308,197,159,110,17,1236,680,479,1357,1288.0,2417.0,0.116,0.631,0.325,0.884,0.032,0.005,0.023,0.193
111,1302,1302,1302.0,31,10,36,56,112,66,43,45,8,407,269,169,607,564.0,1048.0,0.123,0.614,0.33,0.877,0.031,0.001,0.025,0.206
112,1303,1303,1303.0,45,34,75,118,123,101,80,46,3,625,639,316,1347,1374.0,2649.0,0.379,0.136,0.211,0.621,0.008,0.013,0.303,0.162
113,1304,1304,1304.0,21,26,67,72,194,129,68,43,5,625,551,294,1005,1225.0,2074.0,0.133,0.541,0.329,0.867,0.027,0.004,0.017,0.277
114,1305,1305,1305.0,33,58,74,81,163,95,59,42,3,608,736,336,889,1149.0,1718.0,0.229,0.388,0.275,0.771,0.056,0.012,0.017,0.298
115,1306,1306,1306.0,99,77,269,176,231,214,125,75,4,1270,966,559,1396,1326.0,1939.0,0.292,0.312,0.216,0.709,0.084,0.016,0.027,0.27
116,1307,1307,1307.0,118,117,281,278,202,182,197,94,8,1477,907,596,1382,980.0,1496.0,0.54,0.064,0.098,0.459,0.034,0.002,0.244,0.116
117,1308,1308,1308.0,77,80,304,196,188,144,178,58,11,1236,800,509,1199,1411.0,2167.0,0.547,0.045,0.071,0.453,0.042,0.0,0.275,0.091
118,1309,1309,1309.0,96,95,230,255,267,218,183,105,6,1455,897,588,1304,1539.0,2365.0,0.412,0.172,0.129,0.588,0.057,0.005,0.172,0.182
119,1310,1310,1310.0,160,469,523,424,367,321,288,118,6,2676,1244,980,1650,1732.0,2819.0,0.503,0.113,0.098,0.497,0.02,0.004,0.276,0.083
120,1401,1401,1401.0,52,36,128,182,361,274,140,88,21,1282,1190,618,2329,2864.0,5344.0,0.085,0.596,0.293,0.915,0.041,0.027,0.013,0.235
