,NEIGHBORHOOD,YEAR,BALLOTS_CAST,REGISTERED_VOTERS,TOTAL,Ballots Cast / Total,Ballots Cast / Registered Voters,Registered Voter %
75,South Boston,2015,3933.415271295883,23602.08518738647,27501.191678135827,0.14302708469258996,0.16665541370886994,0.8582204532667852
76,Allston,2015,584.5199560546374,10963.225288170252,25647.84362235987,0.02279021833808481,0.05331642292212651,0.42745212617455597
77,Harbor Islands,2015,0.9932707103064515,94.36071747911289,526.4334764624193,0.0018867924528301887,0.010526315789473684,0.1792452830188679
78,Roslindale,2017,6251.709983982995,18449.47185157057,20596.399640313153,0.30353411728070073,0.33885576965450087,0.8957619862580051
79,Jamaica Plain,2017,9892.279882736606,29021.85294329863,32120.96197478263,0.30796960223366876,0.34085624725835467,0.9035175523722785
80,Mission Hill,2017,1517.037688826289,7124.679168933838,13294.722160045934,0.11410826571354594,0.2129271582418923,0.5359028254343919
81,Longwood,2017,125.89087995956346,1011.1686555696003,5429.77420396132,0.023185288233112732,0.12450037811807765,0.18622664913614584
82,Bay Village,2017,280.0421625809798,999.3921726231175,1430.515533500155,0.1957631049945879,0.28021248339973437,0.698623782279264
83,Leather District,2017,87.45163906293574,382.2828540660797,523.7054127957277,0.16698631888505305,0.22876160448414784,0.729957805907173
84,Chinatown,2017,452.99741125135165,1935.4396360928354,2663.672923672895,0.17006495325511697,0.23405401171066187,0.7266055899325993
85,North End,2017,1959.4816498320579,6227.171853203869,7654.132537030702,0.2560030990255373,0.3146663840381903,0.8135699013672424
86,Roxbury,2017,8057.792636421917,30281.84003560287,35422.19764695159,0.227478619952745,0.2660932303634203,0.8548831537054253
87,South End,2017,5162.559273752298,17651.813782002053,20901.026060389733,0.24700027926074142,0.29246622117757043,0.8445429296628946
88,Back Bay,2017,2860.639151354357,13333.466382090497,19039.48403217263,0.15024772449297957,0.21454579547271863,0.700306077599572
89,East Boston,2017,5802.106762167433,18376.910388966022,31350.1731829642,0.18507415344424058,0.31572808700483024,0.5861821011869913
90,Charlestown,2017,4796.550285392412,13254.799542387735,13678.012124060633,0.35067597848922255,0.3618727141103453,0.9690589116434225
91,West End,2017,909.2402257918241,4053.164193136526,5767.541881290049,0.15764778904188048,0.2243284955816734,0.702754184808787
92,Beacon Hill,2017,1366.7158816146152,6155.744088045474,7110.8776949057365,0.19220072967838223,0.22202285573709818,0.8656799275925496
93,Downtown,2017,2012.8232719477464,8760.226326867669,11556.869883184885,0.17416681958809466,0.22976840972411922,0.758010293047748
94,Fenway,2017,1858.9000771130602,11828.40780747734,35428.18747891087,0.05246952241684949,0.15715556204766246,0.3338699676498655
95,Brighton,2017,6166.548409175718,27841.879461014985,42204.900025848074,0.14610977411151457,0.22148463137376553,0.6596835780670831
96,West Roxbury,2017,7778.765047651409,21733.36028246399,24111.631767558087,0.3226146252829576,0.3579181933466527,0.9013641420862261
97,Hyde Park,2017,6954.973797312985,22117.780233112917,24582.101723138494,0.2829283629058637,0.31445170916838083,0.899751391570153
98,Mattapan,2017,4189.883898508957,14654.40017334321,16911.758477656123,0.24774974784819961,0.28591302605005153,0.8665213728486401
99,Dorchester,2017,19894.053005857506,70921.77337991368,85454.02647499317,0.23280416179896685,0.2805069875972935,0.8299406863018662
100,South Boston Waterfront,2017,1055.805902025759,5191.3885226942875,4302.794409299427,0.24537679507621732,0.20337639870533222,1.2065155870506814
101,South Boston,2017,7302.066868914461,26275.844914325804,27501.191678135827,0.2655181984248267,0.27790036410716196,0.955443866645815
102,Allston,2017,2015.2321077154418,11802.013162204586,25647.84362235987,0.07857315949784395,0.17075325031572847,0.4601561572184398
103,Harbor Islands,2017,0.0,17.878872785516126,526.4334764624193,0.0,0.0,0.033962264150943396
104,Roslindale,2019,4633.561178450536,19002.442111848257,20596.399640313153,0.22496947327538291,0.24384029964030013,0.9226098951126848
105,Jamaica Plain,2019,6593.575457983264,30160.337276692095,32120.96197478263,0.20527328736790998,0.21861743114785318,0.9389612085830501
106,Mission Hill,2019,1171.9823129953388,7295.86084428255,13294.722160045934,0.08815395304141425,0.16063660450894846,0.5487787376413545
107,Longwood,2019,96.76584378837336,826.880524839414,5429.77420396132,0.017821338448618607,0.11702518185098866,0.15228635552398456
108,Bay Village,2019,159.04448254006672,972.8478918097544,1430.515533500155,0.11117983609092315,0.16348340154615734,0.6800680377300139
109,Leather District,2019,58.05556743305152,434.5797377629808,523.7054127957277,0.11085538933640199,0.13359013867488445,0.829817158931083
110,Chinatown,2019,295.37495609470477,2167.6877287156144,2663.672923672895,0.11089009970766871,0.13626268773949216,0.8137965098682706
111,North End,2019,688.2989514095862,6429.120702584094,7654.132537030702,0.08992514149442736,0.10705957832350763,0.8399541909524039
112,Roxbury,2019,4510.962181023955,30956.98182916819,35422.19764695159,0.12734845607221001,0.14571711822286404,0.873943004262818
113,South End,2019,2652.135136537763,18276.29524492615,20901.026060389733,0.12689018849480874,0.1451133887363768,0.8744209586706462
114,Back Bay,2019,2035.8933886620434,13418.106579330195,19039.48403217263,0.10693007148837762,0.1517273228249817,0.7047515865795776
115,East Boston,2019,2738.9999148078473,20140.224991387968,31350.1731829642,0.08736793569919511,0.13599649040559644,0.6424278702974515
116,Charlestown,2019,2138.2117877188216,14005.035465740824,13678.012124060633,0.15632474721656,0.15267450003602806,1.0239086892681528
117,West End,2019,654.8313508529684,4510.529684664123,5767.541881290049,0.11353733780022413,0.14517837075308607,0.7820540843051902
118,Beacon Hill,2019,1282.187850326389,6168.772921408137,7110.8776949057365,0.18031358509301235,0.20785136147201635,0.8675121674258964
