,WARD_PRECINCT_CODE,Year,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,Voter Turnout
464,2006.0,2013.0,2817,1223,1010,1668.0,1.69
465,2007.0,2013.0,1630,742,593,993.0,1.64
466,2008.0,2013.0,1572,796,592,1124.0,1.4
467,2009.0,2013.0,1635,917,638,1256.0,1.3
468,2010.0,2013.0,2913,1315,1057,1849.0,1.58
469,2011.0,2013.0,1305,631,484,774.0,1.69
470,2012.0,2013.0,1910,842,688,1022.0,1.87
471,2013.0,2013.0,1670,790,615,948.0,1.76
472,2014.0,2013.0,1877,723,650,958.0,1.96
473,2015.0,2013.0,2288,1420,927,1875.0,1.22
474,2016.0,2013.0,2766,1430,1049,1805.0,1.53
475,2017.0,2013.0,3068,1564,1158,1881.0,1.63
476,2018.0,2013.0,1554,714,567,969.0,1.6
477,2019.0,2013.0,1762,802,641,973.0,1.81
478,2020.0,2013.0,2297,1023,830,1682.0,1.37
479,2101.0,2013.0,693,475,292,1758.0,0.39
480,2102.0,2013.0,123,109,58,1357.0,0.09
481,2103.0,2013.0,307,245,138,1308.0,0.23
482,2104.0,2013.0,289,211,125,1038.0,0.28
483,2105.0,2013.0,522,290,203,1464.0,0.36
484,2106.0,2013.0,865,371,309,1101.0,0.79
485,2107.0,2013.0,731,325,264,1466.0,0.5
486,2108.0,2013.0,546,418,241,1692.0,0.32
487,2109.0,2013.0,745,535,320,1850.0,0.4
488,2110.0,2013.0,713,467,295,1335.0,0.53
489,2111.0,2013.0,799,545,336,1684.0,0.47
490,2112.0,2013.0,1035,661,424,1602.0,0.65
491,2113.0,2013.0,1998,950,737,2067.0,0.97
492,2114.0,2013.0,423,249,168,927.0,0.46
493,2115.0,2013.0,546,322,217,1196.0,0.46
494,2116.0,2013.0,1217,651,467,1637.0,0.74
495,2201.0,2013.0,1090,722,453,1880.0,0.58
496,2202.0,2013.0,1216,892,527,2008.0,0.61
497,2203.0,2013.0,1131,757,472,1615.0,0.7
498,2204.0,2013.0,1021,583,401,1100.0,0.93
499,2205.0,2013.0,587,489,269,948.0,0.62
500,2206.0,2013.0,572,416,247,972.0,0.59
501,2207.0,2013.0,1102,726,457,1422.0,0.77
502,2208.0,2013.0,989,643,408,1279.0,0.77
503,2209.0,2013.0,798,566,341,1283.0,0.62
504,2210.0,2013.0,1420,756,544,1532.0,0.93
505,2211.0,2013.0,883,561,361,1065.0,0.83
506,2212.0,2013.0,895,585,370,1144.0,0.78
507,2213.0,2013.0,781,479,315,852.0,0.92
