,Ward/Precint,% Of Total Ballots Cast 2009,Avg. Ballots Cast Per Precinct 2009,Precinct Ballots Cast 2009,% Of Total Ballots Cast 2019,Avg. Ballots Cast Per Precinct 2019,Precinct Ballots Cast 2019,% Change in Income
229,2105,0.001,437.756,148,0.002,263.713,164,0.5
230,2106,0.003,437.756,284,0.003,263.713,208,0.59
231,2107,0.002,437.756,185,0.003,263.713,174,0.4
232,2108,0.001,437.756,155,0.003,263.713,192,0.49
233,2109,0.002,437.756,233,0.003,263.713,194,0.64
234,2110,0.003,437.756,290,0.003,263.713,225,0.66
235,2111,0.003,437.756,286,0.003,263.713,228,0.73
236,2112,0.004,437.756,412,0.004,263.713,288,0.64
237,2113,0.007,437.756,734,0.008,263.713,525,0.66
238,2114,0.001,437.756,122,0.002,263.713,109,0.56
239,2115,0.002,437.756,178,0.002,263.713,166,0.68
240,2116,0.004,437.756,409,0.004,263.713,247,0.55
241,2201,0.004,437.756,451,0.006,263.713,375,0.74
242,2202,0.004,437.756,411,0.006,263.713,407,0.74
243,2203,0.004,437.756,442,0.006,263.713,412,0.66
244,2204,0.003,437.756,384,0.005,263.713,350,0.37
245,2205,0.002,437.756,226,0.003,263.713,180,0.65
246,2206,0.002,437.756,227,0.003,263.713,182,0.59
247,2207,0.003,437.756,355,0.005,263.713,364,0.39
248,2208,0.003,437.756,377,0.004,263.713,242,0.45
249,2209,0.003,437.756,304,0.004,263.713,278,0.64
250,2210,0.004,437.756,470,0.005,263.713,344,0.47
251,2211,0.003,437.756,316,0.004,263.713,249,0.5
252,2212,0.003,437.756,372,0.004,263.713,282,0.55
253,2213,0.003,437.756,279,0.003,263.713,222,0.39
