,WARD_PRECI,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
16,0409,4967.0,2267.0,731.0,315.0,213.0,316.0,124.0,50.0,39.0,31.0,26.0,60.0,38.0,32.0,16.0,22.0,10.0,2698.0,27.0,32.0,23.0,50.0,921.0
17,0504,2198.0,1064.0,0.0,0.0,28.0,75.0,412.0,135.0,48.0,52.0,63.0,29.0,46.0,17.0,9.0,9.0,0.0,1134.0,37.0,21.0,5.0,1.0,20.0
18,0503,2541.0,1200.0,0.0,8.0,11.0,61.0,217.0,244.0,63.0,74.0,33.0,66.0,41.0,78.0,22.0,12.0,8.0,1340.0,67.0,40.0,36.0,10.0,1.0
19,0501,6322.0,3007.0,129.0,51.0,39.0,90.0,338.0,438.0,151.0,166.0,167.0,133.0,259.0,149.0,44.0,61.0,122.0,3316.0,105.0,89.0,59.0,37.0,283.0
20,0902,2797.0,1398.0,4.0,27.0,43.0,138.0,269.0,185.0,67.0,125.0,50.0,77.0,85.0,9.0,34.0,14.0,26.0,1399.0,72.0,64.0,56.0,48.0,41.0
21,0901,2806.0,1413.0,19.0,10.0,18.0,46.0,107.0,217.0,72.0,52.0,159.0,96.0,130.0,35.0,27.0,10.0,58.0,1394.0,84.0,6.0,56.0,0.0,38.0
22,0502,3530.0,1646.0,100.0,88.0,46.0,139.0,436.0,304.0,116.0,85.0,67.0,52.0,32.0,20.0,31.0,5.0,6.0,1883.0,44.0,31.0,9.0,13.0,77.0
23,0603,1523.0,674.0,0.0,0.0,0.0,6.0,191.0,99.0,47.0,65.0,56.0,60.0,20.0,5.0,12.0,3.0,8.0,848.0,25.0,11.0,4.0,16.0,1.0
24,0605,2055.0,1040.0,4.0,14.0,1.0,90.0,322.0,132.0,76.0,77.0,36.0,30.0,51.0,9.0,9.0,1.0,2.0,1016.0,46.0,21.0,35.0,0.0,7.0
25,0606,1695.0,806.0,12.0,0.0,0.0,67.0,227.0,138.0,60.0,15.0,14.0,24.0,36.0,23.0,4.0,4.0,3.0,890.0,33.0,39.0,17.0,0.0,0.0
26,0602,2629.0,1104.0,20.0,11.0,30.0,26.0,209.0,92.0,69.0,85.0,69.0,65.0,34.0,19.0,18.0,8.0,7.0,1526.0,71.0,73.0,88.0,70.0,18.0
27,0608,1713.0,902.0,3.0,0.0,3.0,24.0,297.0,136.0,40.0,42.0,33.0,31.0,73.0,27.0,11.0,18.0,17.0,810.0,29.0,30.0,33.0,17.0,2.0
28,0702,1829.0,857.0,6.0,0.0,0.0,33.0,253.0,118.0,79.0,21.0,36.0,72.0,32.0,39.0,9.0,12.0,15.0,970.0,25.0,29.0,6.0,4.0,2.0
29,0706,1409.0,715.0,16.0,10.0,9.0,47.0,125.0,67.0,55.0,31.0,42.0,47.0,52.0,5.0,6.0,0.0,0.0,692.0,50.0,51.0,38.0,8.0,17.0
30,0805,1867.0,913.0,23.0,9.0,30.0,38.0,83.0,75.0,97.0,46.0,85.0,26.0,43.0,24.0,21.0,5.0,3.0,954.0,83.0,65.0,48.0,35.0,42.0
31,0803,2559.0,1284.0,16.0,27.0,11.0,91.0,139.0,106.0,88.0,138.0,88.0,76.0,51.0,25.0,27.0,6.0,1.0,1274.0,87.0,78.0,71.0,44.0,12.0
32,1201,2723.0,1180.0,46.0,30.0,4.0,60.0,93.0,43.0,57.0,92.0,101.0,71.0,48.0,46.0,19.0,19.0,2.0,1543.0,97.0,94.0,79.0,87.0,25.0
33,0905,4306.0,2165.0,386.0,229.0,162.0,235.0,144.0,69.0,85.0,71.0,64.0,117.0,77.0,21.0,25.0,5.0,7.0,2140.0,89.0,86.0,70.0,39.0,506.0
