,WARD_PRECI,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
11,0403,1067.0,510.0,2.0,10.0,67.0,55.0,77.0,78.0,90.0,66.0,10.0,6.0,557.0,0.0,23.0,110.0,74.0,99.0,56.0,82.0,46.0,7.0,4.0
12,0405,1507.0,827.0,118.0,109.0,221.0,84.0,43.0,45.0,65.0,40.0,47.0,6.0,680.0,39.0,106.0,192.0,104.0,59.0,26.0,51.0,46.0,45.0,2.0
13,0406,1422.0,817.0,63.0,151.0,217.0,65.0,56.0,56.0,73.0,49.0,54.0,12.0,605.0,32.0,70.0,163.0,94.0,103.0,29.0,22.0,39.0,50.0,0.0
14,0404,1453.0,717.0,1.0,32.0,216.0,154.0,82.0,96.0,50.0,40.0,1.0,1.0,737.0,0.0,91.0,191.0,163.0,88.0,82.0,55.0,17.0,6.0,1.0
15,0408,3657.0,1816.0,808.0,694.0,67.0,49.0,47.0,32.0,61.0,23.0,23.0,9.0,1841.0,754.0,873.0,50.0,36.0,2.0,24.0,14.0,39.0,8.0,11.0
16,0409,2589.0,1229.0,581.0,520.0,25.0,14.0,8.0,12.0,25.0,16.0,11.0,9.0,1359.0,649.0,600.0,29.0,11.0,3.0,12.0,7.0,24.0,2.0,10.0
17,0504,1682.0,830.0,15.0,46.0,288.0,137.0,86.0,27.0,79.0,37.0,51.0,7.0,851.0,0.0,106.0,211.0,183.0,102.0,67.0,55.0,57.0,25.0,5.0
18,0503,2433.0,1114.0,5.0,34.0,159.0,200.0,107.0,113.0,173.0,101.0,67.0,0.0,1320.0,1.0,45.0,244.0,175.0,176.0,164.0,156.0,128.0,75.0,40.0
19,0501,3962.0,1885.0,126.0,61.0,153.0,441.0,173.0,255.0,306.0,144.0,108.0,0.0,2079.0,136.0,321.0,340.0,291.0,207.0,251.0,172.0,163.0,109.0,9.0
20,0902,1487.0,729.0,0.0,46.0,87.0,148.0,170.0,103.0,68.0,43.0,23.0,1.0,758.0,0.0,135.0,117.0,131.0,172.0,53.0,48.0,46.0,19.0,0.0
21,0901,1376.0,724.0,0.0,16.0,126.0,101.0,105.0,127.0,98.0,66.0,1.0,9.0,653.0,0.0,38.0,160.0,107.0,94.0,89.0,83.0,21.0,8.0,0.0
22,0502,2014.0,948.0,9.0,175.0,241.0,233.0,111.0,26.0,74.0,33.0,0.0,30.0,1067.0,39.0,225.0,301.0,221.0,95.0,33.0,91.0,21.0,13.0,0.0
23,0603,1191.0,583.0,0.0,9.0,179.0,113.0,118.0,27.0,67.0,20.0,10.0,7.0,608.0,0.0,21.0,243.0,88.0,78.0,53.0,50.0,21.0,10.0,8.0
24,0605,1918.0,976.0,1.0,90.0,233.0,197.0,104.0,116.0,86.0,15.0,9.0,5.0,942.0,11.0,34.0,237.0,128.0,177.0,70.0,88.0,52.0,42.0,23.0
25,0606,1695.0,714.0,0.0,34.0,119.0,238.0,83.0,44.0,52.0,32.0,15.0,18.0,982.0,0.0,79.0,302.0,146.0,89.0,73.0,100.0,44.0,45.0,29.0
26,0602,1148.0,542.0,3.0,13.0,161.0,93.0,104.0,26.0,65.0,16.0,14.0,13.0,607.0,0.0,19.0,214.0,76.0,81.0,71.0,55.0,34.0,19.0,8.0
