,WARD_PRECI,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
232,1004,273.0,140.0,10.0,10.0,16.0,0.0,33.0,5.0,22.0,5.0,0.0,0.0,134.0,0.0,28.0,7.0,14.0,37.0,1.0,0.0,12.0,0.0,0.0
233,0802,887.0,445.0,6.0,33.0,125.0,52.0,20.0,80.0,27.0,0.0,76.0,0.0,441.0,1.0,29.0,64.0,76.0,22.0,12.0,60.0,25.0,24.0,0.0
234,2011,59.0,19.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,5.0,0.0,0.0
235,2008,218.0,110.0,1.0,6.0,0.0,19.0,65.0,0.0,0.0,0.0,0.0,0.0,108.0,5.0,0.0,7.0,1.0,18.0,5.0,18.0,0.0,0.0,0.0
236,0410,801.0,343.0,73.0,42.0,23.0,12.0,43.0,16.0,35.0,24.0,1.0,0.0,457.0,119.0,141.0,16.0,21.0,55.0,7.0,12.0,19.0,5.0,0.0
237,0407,318.0,157.0,30.0,61.0,1.0,1.0,24.0,0.0,15.0,2.0,17.0,0.0,159.0,39.0,42.0,23.0,0.0,22.0,14.0,4.0,1.0,0.0,1.0
238,1008,589.0,292.0,1.0,27.0,57.0,11.0,18.0,28.0,53.0,11.0,9.0,2.0,297.0,7.0,21.0,46.0,4.0,52.0,20.0,25.0,37.0,20.0,8.0
239,0301,87.0,47.0,2.0,5.0,4.0,16.0,7.0,6.0,8.0,0.0,0.0,0.0,40.0,3.0,3.0,7.0,11.0,11.0,2.0,1.0,0.0,3.0,0.0
240,0507,181.0,91.0,4.0,21.0,15.0,2.0,22.0,17.0,9.0,0.0,0.0,0.0,92.0,9.0,20.0,20.0,0.0,11.0,9.0,11.0,0.0,0.0,0.0
241,0508,252.0,134.0,10.0,29.0,15.0,23.0,22.0,16.0,3.0,3.0,6.0,0.0,117.0,17.0,29.0,18.0,3.0,25.0,8.0,0.0,0.0,0.0,0.0
242,0506,179.0,87.0,3.0,21.0,14.0,3.0,21.0,17.0,9.0,0.0,0.0,0.0,91.0,9.0,19.0,21.0,0.0,12.0,9.0,12.0,0.0,0.0,0.0
243,0509,386.0,214.0,25.0,49.0,22.0,33.0,27.0,10.0,5.0,10.0,4.0,0.0,173.0,25.0,38.0,31.0,9.0,29.0,15.0,5.0,0.0,0.0,0.0
244,1812,725.0,343.0,0.0,20.0,41.0,37.0,32.0,50.0,38.0,5.0,21.0,0.0,383.0,0.0,36.0,37.0,27.0,51.0,67.0,27.0,22.0,4.0,0.0
245,1823,342.0,101.0,2.0,0.0,15.0,0.0,0.0,15.0,26.0,10.0,0.0,0.0,240.0,0.0,5.0,7.0,31.0,37.0,41.0,14.0,2.0,0.0,0.0
246,2003,778.0,256.0,4.0,5.0,29.0,0.0,7.0,33.0,58.0,21.0,1.0,9.0,522.0,0.0,15.0,20.0,60.0,72.0,108.0,35.0,4.0,8.0,0.0
247,1816,796.0,379.0,23.0,25.0,21.0,17.0,70.0,31.0,31.0,3.0,7.0,1.0,417.0,10.0,51.0,7.0,27.0,101.0,7.0,42.0,7.0,1.0,0.0
248,1817,571.0,274.0,15.0,21.0,16.0,15.0,50.0,23.0,22.0,2.0,5.0,0.0,298.0,7.0,35.0,6.0,20.0,73.0,6.0,32.0,6.0,0.0,0.0
249,1818,855.0,416.0,34.0,55.0,17.0,36.0,53.0,44.0,16.0,8.0,3.0,15.0,439.0,7.0,40.0,55.0,20.0,84.0,40.0,29.0,8.0,12.0,0.0
250,0502A,251.0,146.0,14.0,43.0,17.0,28.0,16.0,14.0,0.0,0.0,0.0,0.0,104.0,0.0,35.0,17.0,9.0,12.0,3.0,15.0,10.0,0.0,4.0
251,0115,14.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
252,0104,1384.0,809.0,3.0,101.0,39.0,79.0,173.0,229.0,16.0,8.0,3.0,1.0,574.0,6.0,57.0,40.0,57.0,134.0,99.0,28.0,10.0,6.0,1.0
253,2002,439.0,214.0,0.0,4.0,5.0,8.0,45.0,22.0,30.0,24.0,0.0,0.0,227.0,5.0,11.0,14.0,3.0,41.0,24.0,45.0,7.0,7.0,0.0
