,WARD_PRECI,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
143,1809,37.0,16.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,21.0,0.0,9.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0
144,1810,91.0,34.0,0.0,0.0,0.0,5.0,10.0,4.0,8.0,2.0,0.0,0.0,58.0,0.0,6.0,6.0,2.0,14.0,0.0,2.0,2.0,0.0,0.0
145,1811,53.0,25.0,0.0,2.0,7.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,28.0,0.0,1.0,0.0,14.0,0.0,13.0,0.0,0.0,0.0,0.0
146,1813,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
147,1814,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0
148,1822,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
149,1805,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0
150,1806,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0
151,1815,16.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
152,1819,140.0,49.0,0.0,0.0,5.0,0.0,9.0,13.0,0.0,9.0,0.0,0.0,91.0,0.0,3.0,5.0,0.0,28.0,5.0,19.0,0.0,9.0,0.0
153,1911,63.0,34.0,0.0,0.0,9.0,0.0,9.0,6.0,0.0,5.0,0.0,0.0,30.0,0.0,0.0,3.0,0.0,4.0,15.0,5.0,3.0,0.0,0.0
154,1913,57.0,36.0,0.0,1.0,2.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,2.0,0.0,0.0,14.0,5.0,0.0,0.0,0.0
155,1912,37.0,18.0,0.0,1.0,6.0,3.0,5.0,0.0,0.0,3.0,0.0,0.0,18.0,0.0,0.0,2.0,4.0,3.0,6.0,2.0,1.0,0.0,0.0
156,2004,64.0,37.0,0.0,5.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,5.0,14.0,0.0,5.0,0.0,0.0
157,2009,51.0,16.0,0.0,0.0,0.0,2.0,10.0,0.0,1.0,1.0,0.0,0.0,36.0,0.0,0.0,3.0,1.0,16.0,0.0,1.0,1.0,0.0,0.0
158,2007,58.0,32.0,0.0,2.0,0.0,2.0,7.0,4.0,3.0,0.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,6.0,8.0,4.0,3.0,1.0,0.0
159,2019,62.0,22.0,0.0,0.0,0.0,2.0,3.0,9.0,3.0,0.0,1.0,0.0,40.0,2.0,0.0,1.0,2.0,14.0,7.0,7.0,0.0,1.0,0.0
160,2006,219.0,63.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,155.0,4.0,0.0,0.0,7.0,63.0,45.0,10.0,0.0,0.0,0.0
161,2020,143.0,53.0,0.0,2.0,4.0,12.0,13.0,8.0,2.0,3.0,0.0,0.0,88.0,0.0,2.0,10.0,17.0,32.0,4.0,13.0,3.0,1.0,0.0
162,2013,49.0,21.0,0.0,0.0,0.0,2.0,4.0,1.0,5.0,0.0,1.0,0.0,27.0,1.0,0.0,1.0,2.0,9.0,0.0,7.0,0.0,2.0,0.0
163,2016,226.0,95.0,0.0,4.0,0.0,0.0,7.0,32.0,13.0,0.0,18.0,0.0,131.0,0.0,0.0,7.0,0.0,9.0,38.0,22.0,7.0,10.0,0.0
164,2010,169.0,107.0,0.0,0.0,7.0,18.0,13.0,25.0,14.0,6.0,2.0,0.0,64.0,1.0,3.0,0.0,0.0,8.0,29.0,14.0,0.0,2.0,0.0
165,2005,400.0,182.0,0.0,4.0,1.0,10.0,23.0,52.0,23.0,1.0,24.0,0.0,219.0,2.0,4.0,8.0,2.0,27.0,62.0,36.0,8.0,15.0,0.0
166,1703,244.0,115.0,7.0,8.0,10.0,4.0,15.0,33.0,1.0,15.0,4.0,0.0,127.0,4.0,1.0,12.0,0.0,24.0,17.0,14.0,7.0,0.0,6.0
167,1110,63.0,29.0,0.0,2.0,6.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,3.0,9.0,8.0,8.0,4.0,0.0,0.0,0.0,0.0
168,1109,55.0,23.0,0.0,1.0,4.0,0.0,11.0,0.0,0.0,0.0,1.0,2.0,32.0,1.0,2.0,6.0,6.0,10.0,4.0,0.0,1.0,1.0,0.0
169,1902,153.0,25.0,0.0,0.0,0.0,2.0,6.0,0.0,6.0,5.0,0.0,5.0,129.0,65.0,37.0,0.0,0.0,14.0,4.0,4.0,5.0,0.0,0.0
170,2017,404.0,150.0,0.0,7.0,11.0,33.0,36.0,24.0,0.0,10.0,0.0,0.0,254.0,0.0,7.0,30.0,54.0,92.0,11.0,34.0,10.0,0.0,0.0
171,2015,208.0,92.0,0.0,1.0,0.0,5.0,15.0,24.0,12.0,0.0,8.0,0.0,115.0,3.0,3.0,2.0,4.0,15.0,31.0,25.0,3.0,6.0,0.0
172,1910,84.0,44.0,0.0,1.0,2.0,1.0,6.0,19.0,4.0,1.0,0.0,0.0,40.0,0.0,4.0,4.0,1.0,6.0,11.0,5.0,1.0,0.0,0.0
173,1801,185.0,68.0,0.0,1.0,3.0,2.0,14.0,2.0,34.0,0.0,0.0,0.0,117.0,0.0,33.0,3.0,11.0,9.0,37.0,6.0,0.0,4.0,0.0
174,1714,153.0,67.0,0.0,2.0,6.0,3.0,23.0,3.0,11.0,0.0,0.0,0.0,86.0,0.0,2.0,6.0,18.0,14.0,8.0,9.0,0.0,7.0,0.0
